,name,year,month,era,bs_trip,selection,complete,shut_down,win,group,count,hold,innings,loss,blame,hitter,steersman,safety,stroke2,stroke3,homer,walk,high4,dune,fan,pitching,WHIP,bit_avg,on_base_per,OPS
164,한화,15개,4월,5.06,109,22,0,0,12,10,10,7,195.2,123,110,889,746,200,27,0,22,102,4,19,164,3558,1.54,.268,.368,.761
165,두산,15개,4월,4.84,96,22,1,1,14,8,9,3,201.0,119,108,890,750,194,33,4,24,107,1,9,199,3535,1.50,.259,.356,.765
166,넥센,15개,4월,4.79,94,23,0,0,12,11,8,4,203.0,116,108,889,780,202,35,5,22,84,0,11,209,3590,1.41,.259,.338,.739
167,KIA,15개,4월,4.77,99,23,0,0,10,13,12,3,209.1,119,111,939,797,218,55,9,26,105,8,18,161,3663,1.54,.274,.368,.831
168,롯데,15개,4월,4.55,96,22,1,0,11,11,6,4,194.0,105,98,840,750,205,36,0,21,65,4,8,170,3399,1.39,.273,.335,.740
169,LG,15개,4월,4.24,99,23,0,0,13,10,5,5,206.0,107,97,889,771,206,39,4,22,79,3,17,159,3440,1.38,.267,.346,.759
170,SK,15개,4월,4.06,94,22,0,0,12,10,10,5,192.2,98,87,821,723,175,37,0,21,71,4,11,174,3214,1.28,.242,.318,.698
171,삼성,15개,4월,3.61,94,23,0,0,15,8,12,5,204.2,88,82,856,766,192,37,4,21,57,2,14,202,3379,1.22,.251,.311,.703
172,두산,15개,5월,5.75,105,23,1,1,12,11,9,5,203.1,137,130,930,799,230,41,2,24,91,3,16,162,3596,1.58,.288,.368,.802
173,kt,15개,5월,5.72,134,27,0,0,7,20,9,3,240.2,183,153,1099,936,273,46,10,27,108,4,19,211,4387,1.58,.292,.372,.821
174,LG,15개,5월,5.61,111,26,0,0,8,17,1,2,231.0,151,144,1035,901,267,49,6,26,94,4,19,208,4034,1.56,.296,.372,.822
175,한화,15개,5월,5.47,146,27,0,0,13,14,12,7,237.0,155,144,1099,924,269,51,0,25,131,9,16,178,4261,1.69,.291,.385,.813
176,롯데,15개,5월,5.29,120,27,0,0,14,13,11,4,240.0,153,141,1085,934,271,60,3,32,108,7,21,206,4364,1.58,.290,.374,.837
177,넥센,15개,5월,5.06,103,27,0,0,15,11,12,7,243.2,151,137,1083,939,259,47,6,32,103,3,15,209,4248,1.49,.276,.354,.795
178,KIA,15개,5월,4.46,102,25,0,0,12,13,9,5,218.0,117,108,960,806,222,34,4,24,100,5,24,178,3746,1.48,.275,.369,.786
179,SK,15개,5월,4.28,101,25,0,0,12,12,11,7,223.0,115,106,973,852,212,46,0,27,92,5,10,208,3927,1.36,.249,.327,.725
